Name	Set	ImageFile	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Text	Flavor	Comments	Artist	Type	Category	Edition	NoMax	Designators
Dragon Mountain (11)	standard	dragon_mountain_standard	Feng Shui Site	0			0	1	7	Unique.  Toughness: 1.	The dragon is hidden in the land. Its scales say, "Do not act."		Bryon Wackwitz	Site	Feng Shui Site	Rare	N	 dragon mountain 
Family Home (12)	standard	family_home_standard	Feng Shui Site	0			0	1	5	Generates an additional point of Power if the Power of the player to your left is greater than yours.			Ken Meyer Jr.	Site	Feng Shui Site	Very Common	N	 family home 
Family Restaurant (13)	standard	family_restaurant_standard	Feng Shui Site	0			0	1	4	Regenerates. Body is reduced to 0 if damaged by a Hood card.			Mark Poole	Site	Feng Shui Site	Very Common	N	 family restaurant 
Festival Circle (14)	netherworld	festival_circle_nw	Feng Shui Site	0			0	1	6	Turn Festival Circle when it is in your front row and inflict 2 points of damage on it to cancel an Event that targets characters you control.  Damage may only be removed from Festival Circle when it is seized.			Nicola Leonard	Site	Feng Shui Site	Very Common	N	 festival circle 
Field of Tentacles (15)	netherworld	field_of_tentacles_nw	Netherworld Feng Shui Site	0			0	1	8	Turn and maintain to cancel the effects of target non-feng shui site controlled by an opponent.  Treat target site's rules text as if it were blank. Target site can still generate Power.	"Tentacles coming up through the floorboards can really drive down property values."		Mark Tedin	Site	Feng Shui Site	Very Common	N	 field tentacl tentacle tentacles netherworld 
Fortress of Shadow (16)	netherworld	fortress_of_shadow_nw	Feng Shui Site	0			0	1	8	If Fortress of Shadow is seized or burned by an opponent who controls more Power-generating sites than you, you gain Power equal to the highest cost among the characters who attacked the site this turn.			Margaret Organ-Kean	Site	Feng Shui Site	Very Common	N	 fortres fortress shadow 
Fox Pass (17)	standard	fox_pass_standard	Feng Shui Site	0			0	1	5	Limited.  Turn to change the target of target attacking character's attack to any character or front-row site you control.		Clarification: "Turn to change one attacking character's target to a character or front-row site you control."	Heather Bruton	Site	Feng Shui Site	Rare	N	 fox pas pass 
Garden of Bronze (18)	netherworld	garden_of_bronze_nw	Netherworld Feng Shui Site	0			0	1	8	Gain 3 Power when an opponent burns one of your other feng shui sites for Power.	"It's both an art installation and a chi-feedback resonance enhancer, Johnny."		Nicola Leonard	Site	Feng Shui Site	Very Common	N	 garden bronze netherworld 
Grove of Willows (19)	standard	grove_of_willows_standard	Feng Shui Site	0			0	1	6	If Grove of Willows is revealed due to damage inflicted in an attack, you gain Power equal to the number of characters that attacked it.			Rob Alexander	Site	Feng Shui Site	Very Common	N	 grove willow willows 
Hallowed Earth (20)	standard	hallowed_earth_standard	Feng Shui Site	0			0	1	6	If Hallowed Earth is seized or burned by a player who controls more feng shui sites than you, you gain Power equal to the number of feng shui sites he or she controls.			Mark Poole	Site	Feng Shui Site	Very Common	N	 hallowed earth 
Hanging Coffins (21)	standard	hanging_coffins_standard	Feng Shui Site	0			0	1	6	Unique.  Turn to give target character Tactics until end of the turn.	Some of the greatest generals in history are buried here.		Mike Raabe	Site	Feng Shui Site	Rare	N	 hanging coffin coffins 
Heart of the Rainforest (22)	flashpoint	heart_of_the_rainforest_fp	Feng Shui Site	0			0	1	8	Heart of the Rainforest gains +2 Body for each State it is the subject of.			Heather Bruton	Site	Feng Shui Site	Common	N	 heart rainforest 
Hidden Sanctuary (23)	flashpoint	hidden_sanctuary_fp	Feng Shui Site	0			0	1	7	Limited. At the end of an attack you declared, you may remove X points of damage from each character you choose that participated in the attack. X = the number of Sanctuaries you control.			Heather Hudson	Site	Feng Shui Site	Common	N	 hidden sanctuary 
House of Mirrors (24)	netherworld	house_of_mirrors_nw	Netherworld Feng Shui Site	0			0	1	6	Netherworld Site.  If an opponent controls more Power-generating sites than you, you may play a feng shui site at a cost 1 less than normal.  Effects of multiple Houses of Mirrors are not cumulative.			Melissa Benson	Site	Feng Shui Site	Very Common	N	 house mirror mirrors netherworld 
Inner Sanctum (25)	standard	inner_sanctum_standard	Feng Shui Site	0			0	1	11	Once Inner Sanctum has been revealed, you may not place new feng shui sites into its column.	Too great a chi flow can be as hazardous as too little.		Jeff Menges	Site	Feng Shui Site	Very Common	N	 inner sanctum 
Jagged Cliffs (26)	standard	jagged_cliffs_standard	Feng Shui Site	0			0	1	8	If Jagged Cliff's Body is reduced to zero, all characters at its location suffer 3 points of damage.	"The main thing I learned that day was that getting caught in a rockfall can extremely painful to your health."		Edward Beard, Jr.	Site	Feng Shui Site	Very Common	N	 jagged cliff cliffs 
Kinoshita House (27)	standard	kinoshita_house_standard	Feng Shui Site	0			0	1	4	Unique.  Turn to unturn target attacking character.  Target attacking character inflicts and receives no damage during this attack.	The sublime meditation cottage of the great ninja leader Kinoshita retains the essence of his spirit.	Errata: Kinoshita House not only unturns its target character, it removes the target character from the attack as well.	Kumi Yamashita	Site	Feng Shui Site	Rare	N	 kinoshita house 
Lily Pond (28)	standard	lily_pond_standard	Feng Shui Site	0			0	1	4	Turn to switch the location of Lily Pond with any other feng shui site you control. This may change which site is targeted by an attack.			Nicola Leonard	Site	Feng Shui Site	Very Common	N	 lily pond 
Locksley Station (29)	netherworld	locksley_station_nw	Netherworld Feng Shui Site	0			0	1	5	Unique.  If Locksley Station is in your front row, turn and maintain it to take control of target non-feng shui site.	"The train stays put, but the station moves around. Kind of like an optical collision."		Susan Stejskal	Site	Feng Shui Site	Rare	N	 locksley station netherworld 
Marsh (30)	standard	marsh_standard	Feng Shui Site	0			0	1	8	Takes no damage from any character that is the subject of a vehicle state.	"When I get out of this mess, I'm gonna have some stern words with the weasel who called this an all-terrain vehicle."		Mike Trapp	Site	Feng Shui Site	Very Common	N	 marsh 
Monkey House (31)	netherworld	monkey_house_nw	Netherworld Feng Shui Site	0			0	1	7	Limited.  If an opponent controls more Power-generating sites than you, you may turn Monkey House to discard a feng shui site that is neither Unique nor Limited.  You then gain 1 Power.			Richard Thomas	Site	Feng Shui Site	Uncommon	N	 monkey house netherworld 
Mountain Retreat (32)	standard	mountain_retreat_standard	Feng Shui Site	0			0	1	6	Once Mountain Retreat has been revealed, it can't be damaged by more than two characters in an attack.  The defending player decides which two characters inflicting damage actually do so.			Melissa Benson	Site	Feng Shui Site	Very Common	N	 mountain retreat 
Mourning Tree (33)	standard	mourning_tree_standard	Feng Shui Site	0			0	1	8	Unique.  Any player who attacks Mourning Tree may not declare any subsequent attacks this turn.			Bryon Wackwitz	Site	Feng Shui Site	Rare	N	 mourning tree 
Night Market (34)	flashpoint	night_market_fp	Feng Shui Site	0			0	1	8	Limited. In response to an opponent playing an Event during your turn, turn Night Market to gain Power equal to the cost of that Event.			Anthony Waters	Site	Feng Shui Site	Common	N	 night market 
Peacock Summit (35)	flashpoint	peacock_summit_fp	Feng Shui Site	0			0	1	6	Peacock Summit gains +2 Body for each different faction in your resource pool.			Rob Alexander	Site	Feng Shui Site	Common	N	 peacock summit 
Perpetual Motion Machine (36)	netherworld	perpetual_motion_machine_nw	Netherworld Feng Shui Site	0			0	1	7	You may discard an additional card of your choice whenever you discard.	"If it's impossible in the real world, you can bet it exists somewhere in the Inner Kingdom."		Daniel Gelon	Site	Feng Shui Site	Very Common	N	 perpetual motion machine netherworld 
Pinball Hall (37)	netherworld	pinball_hall_nw	Netherworld Feng Shui Site	0			0	1	8	If this site is seized or burned, or if it is smoked by an Event card played by an opponent, you may inflict 6 points of damage on any character in play.	You don't wanna be the triple-flipper light-up.		Quinton Hoover	Site	Feng Shui Site	Very Common	N	 pinball hall netherworld 
Proving Ground (38)	standard	proving_ground_standard	Feng Shui Site	0			0	0	6	Proving Ground is turned when it is revealed.  Turn to play a character at   -2 cost. Multiple Proving Grounds cannot reduce the cost of the same character.		Note: The first time you turn this card (when it's revealved) you *don't* get to use it.	John T. Snyder	Site	Feng Shui Site	Uncommon	N	 proving ground 
Rainforest Grove (39)	flashpoint	rainforest_grove_fp	Feng Shui Site	0			0	1	7	Limited. Characters you control gain +1 Fighting until the end of the attack when they turn to attack a target controlled by a player who controls more cards than you.			Rob Alexander	Site	Feng Shui Site	Common	N	 rainforest grove 
Rainforest River (40)	flashpoint	rainforest_river_fp	Feng Shui Site	0			0	1	8	You may play Rainforest River face up into a location that contains a single face-up feng shui site. Rainforest River becomes the new front-row site. The other site moves to the back row.	"I swear there was a road here yesterday."		Douglas Shuler	Site	Feng Shui Site	Uncommon	N	 rainforest river 
Rainforest Temple (41)	flashpoint	rainforest_temple_fp	Feng Shui Site	0			0	1	8	Turn Rainforest Temple to remove up to two damage counters from it and inflict the damage on another site you control that has a Body of 3 or more.			Rob Alexander	Site	Feng Shui Site	Common	N	 rainforest temple 
The Red Lantern Tavern (42)	standard	the_red_lantern_tavern_standard	Feng Shui Site	0			0	1	7	Unique.  Turn to give target character Assassinate against turned characters until the end of the turn.	Madam Yuan's notorious establishment sold pleasure and murder in equal measure.		April Lee	Site	Feng Shui Site	Rare	N	 red lantern tavern the 
Ring of Gates (43)	netherworld	ring_of_gates_nw	Netherworld Feng Shui Site	0			0	1	6	Turn to cancel an effect that would return a card or cards to one or more players' hands.	The Netherworld is the land of dead ends.		Richard Thomas	Site	Feng Shui Site	Very Common	N	 ring gat gate gates netherworld 
Rust Garden (44)	netherworld	rust_garden_nw	Netherworld Feng Shui Site	0			0	1	7	If an opponent seizes or burns Rust Garden, inflict 2 points of damage on every other site he or she controls.	"Right after we blew it up, we found old mufflers in the Sacred Grove and a junked robot in the Lily Pond."		Mark Wilson	Site	Feng Shui Site	Very Common	N	 rust garden netherworld 
Sacred Ground (45)	standard	sacred_ground_standard	Feng Shui Site	0			0	1	9		"I still remember the first feng shui site I attuned to, back like it was yesterday. Back when I didn't know squat about the secret war."		NéNé Thomas	Site	Feng Shui Site	Very Common	N	 sacred ground 
Sacred Heart Hospital (46)	standard	sacred_heart_hospital_standard	Feng Shui Site	0			0	1	6	Unique.  Turn Sacred Heart Hospital to heal target character.	Secret warriors spend a lot of time in hospitals.		Heather Bruton	Site	Feng Shui Site	Rare	N	 sacred heart hospital 
Sampan Village (47)	flashpoint	sampan_village_fp	Feng Shui Site	0			0	1	7	When an attack targeting Sampan Village ends, you may place each character that attacked the site at a location of your choice on its controller's side.			Diana Vick	Site	Feng Shui Site	Common	N	 sampan village 
Stone Garden (48)	standard	stone_garden_standard	Feng Shui Site	0			0	1	6	Turn to remove one damage counter from target site.	An artist in harmony with the earth can channel and focus chi.		Nicola Leonard	Site	Feng Shui Site	Very Common	N	 stone garden 
Turtle Beach (49)	standard	turtle_beach_standard	Feng Shui Site	0			0	1	6	Unique.  Turn Turtle Beach to redirect damage done to target character from a single source to Turtle Beach.	When protection becomes sacrifice, how much can the land withstand?		Heather Bruton	Site	Feng Shui Site	Rare	N	 turtle beach 
Turtle Island (50)	flashpoint	turtle_island_fp	Feng Shui Site	0			0	1	8	Turtle Island cannot be damaged or removed from play by Events played by opponents. Cannot be burned.			Rob Alexander	Site	Feng Shui Site	Common	N	 turtle island 
Wall of a Thousand Eyes (51)	netherworld	wall_of_a_thousand_eyes_nw	Netherworld Feng Shui Site	0			0	1	7	Characters attacking sites you control cannot use Ambush, Stealth, Superleap or Tactics.	"The place wouldn't be half as creepy if the freaking eyes would just blink in unison."		Dennis Detwiller	Site	Feng Shui Site	Very Common	N	 wall thousand ey eye eyes netherworld 
Whirlpool of Blood (52)	netherworld	whirlpool_of_blood_nw	Netherworld Feng Shui Site	0			0	1	5	Turn to cancel an effect generated by the turning of a feng shui site.	"When the pirates pushed us in, we found out it wasn't real blood. But by that point being grossed out was the least of our worries."		Randy Gallegos	Site	Feng Shui Site	Very Common	N	 whirlpool blood netherworld 
Drug Lab (53)	standard	drug_lab_standard	Hood Site	1			0	1	6	Limited.  Drug Lab is smoked if damaged by a Cop card.	There's always been a brisk business selling fools their own destruction.		John T. Snyder	Site	Unaligned	Rare	N	 drug lab hood 
Forty-Story Inferno (54)	flashpoint	forty_story_inferno_fp	Battleground Site	0			0	0	5	If Forty-Story Inferno is in your front row, an opponent who is at least as close to fulfilling victory conditions as you are may not declare more interceptors than the number of characters you are currently attacking with. Any player who seizes this site gains 2 Power.			Ron Spencer	Site	Unaligned	Uncommon	N	 forty story inferno battleground 
The Home Front (55)	flashpoint	the_home_front_fp	Battleground Site	1			0	0	3	If The Home Front is in your front row, your sites gain +2 Body. Any player who seizes this site gains 2 Power.			Mark Poole	Site	Unaligned	Uncommon	N	 home front the battleground 
Killing Ground (56)	flashpoint	killing_ground_fp	Battleground Site	0			0	0	5	If Killing Ground is in your front row, all characters you control inflict +1 damage on intercepting characters and you may play non-Unique 0-cost non-feng shui sites even if you have already played a site that turn. Any player who seizes this site gains 2 Power.			Mike Raabe	Site	Unaligned	Common	N	 killing ground battleground 
Police Station (57)	standard	police_station_standard	Site	1			0	0	10	Turn and maintain Police Station to give target Cop character +2 Fighting or turn to inflict 2 points of damage on target Hood character or site.		Clarification: "... target Hood character or Hood site."	Mike Trapp	Site	Unaligned	Rare	N	 police station 
Portal in Tower Square (58)	flashpoint	portal_in_tower_square_fp	Battleground Site	0			0	0	5	Unique. If Portal in Tower Square is in your front row, you may turn and maintain it to target 2 characters.  Target characters may not turn to change location.  Any player who seizes this site gains 3 Power.			Mark Tedin	Site	Unaligned	Uncommon	N	 portal tower square battleground 
Secret Headquarters (59)	standard	secret_headquarters_standard	Site	3			0	2	10	Limited.  All sites you control take 2 points of damage if Secret Headquarters is smoked.	If we told you about it, it wouldn't be a secret, would it?		Mike Trapp	Site	Unaligned	Rare	N	 secret headquarter headquarters 
Sniper Nest (60)	flashpoint	sniper_nest_fp	Battleground Site	0			0	0	4	If Sniper Nest is in your front row, you may turn it to inflict 2 points of damage on a character that has just turned to change location. Any player who seizes this site gains 1 Power.			Randy Gallegos	Site	Unaligned	Common	N	 sniper nest battleground 
Trade Center (61)	standard	trade_center_standard	Site	3			0	2	9	Feng shui sites to the immediate right and left of Trade Center generate no Power.	"Old Mr. Tsang told me that it would cut off my chi, but I couldn't exactly cancel a billion-dollar contract, could I?		Mark Poole	Site	Unaligned	Common	N	 trade center 
Art of War (62)	flashpoint	art_of_war_fp	Edge	0			0	0	0	Unique. Your hand size increases by 2. When the opponent to your left declares an attack, you must predict whether the attack will be successful. If you are incorrect, control of Art of War shifts to the opponents to your left.		Ruling: Forgetting to make a prediction is the same as if you had guessed wrong.	Melissa Benson	Edge	Unaligned	Uncommon	N	 art war 
The Rackets (63)	standard	the_rackets_standard	Hood Edge	3			0	0	0	Comes into play turned.  Turn during your turn to take 1 Power from target player's pool and add it to your own.			John T. Snyder	Edge	Unaligned	Uncommon	N	 racket rackets the hood 
Safehouse (64)	standard	safehouse_standard	Edge	4			0	0	0	Turn and maintain; no attacks can be declared against target character.			Andi Rusu	Edge	Unaligned	Rare	N	 safehouse 
Attack Helicopter (65)	standard	attack_helicopter_standard	State	3			0	0	0	Vehicle.  Subject character gains Mobility, Tactics, and +2 Fighting.	The airborne vehicle of choice for pocket-sized wars.		Heather Bruton	State	Unaligned	Uncommon	N	 attack helicopter 
Elevator to the Netherworld (66)	netherworld	elevator_to_the_netherworld_nw	State	1			0	0	0	Unique.  Play on a front-row site.  Turn to give target character at subject site's location Independent until end of turn.	"If you got enough chi happening, you can see the *special* button."		Anthony Waters	State	Unaligned	Rare	N	 elevator netherworld 
Explosives (67)	standard	explosives_standard	State	1			0	0	0	Play on any unturned character.  When subject character damages a site in combat, you may sacrifice Explosives to inflict an additional 5 points of damage on the site.	Ka-BOOOOMM!	Clarification: "*After* subject character damages site ..."	Dan Frazier	State	Unaligned	Uncommon	N	 explosiv explosive explosives 
Grenade Launcher (68)	standard	grenade_launcher_standard	State	1			0	0	0	Weapon.  Controlling character inflicts +3 damage on characters with vehicles or sites.	Grenades are much more effective in the movies than in real life. This ain't real life.		Brian Snoddy	State	Unaligned	Uncommon	N	 grenade launcher 
Motorcycle (69)	standard	motorcycle_standard	State	0			0	0	0	Vehicle.  Turn Motorcycle to change location of controlling character.	"It wasn't a Harley, but considering I had about a dozen hopping vampires on my case, I decided not to be finicky.		John T. Snyder	State	Unaligned	Common	N	 motorcycle 
Netherworld Passageway (70)	standard	netherworld_passageway_standard	State	2			0	0	0	Play on any site.  All characters located in front of subject site gain Mobility.  Subject site is considered to be a Netherworld site in addition to any other designators.			Liz Danforth	State	Unaligned	Common	N	 netherworld passageway 
Pump-Action Shotgun (71)	flashpoint	pumpaction_shotgun_fp	State	1			0	0	0	Weapon. Turn to have subject character inflict +3 damage for the duration of the turn. Pump-Action Shotgun unturns if a Unique character you control is smoked by an opponent.	"This time..." KA-CHINK "... I'm going for a little redemption action."		Drew Tucker	State	Unaligned	Common	N	 pump action gun  
Really Big Gun (72)	standard	really_big_gun_standard	State	1			0	0	0	Weapon.  Controlling character inflicts +2 damage.	A persuasive member of any debating team.		Brian Snoddy	State	Unaligned	Common	N	 really big gun  
Speed Boat (73)	standard	speed_boat_standard	State	2			0	0	0	Vehicle.  Controlling character gains Mobility and Tactics.	Slice through the waters like a high-octane razor blade.		Mike Trapp	State	Unaligned	Common	N	 speed boat 
Sports Car (74)	standard	sports_car_standard	State	2			0	0	0	Vehicle.  Controlling character gains Toughness: 1 and Mobility.	It ain't action till you've got a bunch of cars rolling over and catching fire and stuff.		Mike Trapp	State	Unaligned	Common	N	 sport sports car 
Throwing Star (75)	standard	throwing_star_standard	State	1			0	0	0	Weapon.  Play on any character.  When in combat, and after combat damage is dealt, subject character can inflict 1 point of damage on any character at its location.		Clarification: Last sentence should say: "After surviving combat with another character, subject character may inflict 1 point of damage on any character at its location."	Kumi Yamashita	State	Unaligned	Uncommon	N	 throwing star 
Water Sword (76)	standard	water_sword_standard	State	1			0	0	0	Weapon.  Unique.  Subject character gains +1 Fighting.  If subject character is smoked, return Water Sword to your hand instead of placing it in the smoked pile.			April Lee	State	Unaligned	Rare	N	 water sword  
Cheap Punks (77)	flashpoint	cheap_punks_fp	Mercenary Hoods	2			2	0	0	Anytime during any turn in which Cheap Punks are smoked, you may play a single Hood card or a single Rabble card at -1 cost.			Susan Van Camp	Character	Unaligned	Common	N	 cheap punk punks mercenary hood hoods 
Dark Traveler (78)	netherworld	dark_traveler_nw	Netherworld Hero	2			2	0	0	Dark Traveler's Fighting score is increased by 2 for each feng shui site in your smoked pile.			Anson Maddocks	Character	Unaligned	Very Common	N	 dark traveler netherworld hero 
The Displaced (79)	netherworld	the_displaced_nw	Netherworld Rabble	1			1	0	0	If The Displaced are smoked, you may toast a card in an opponent's smoked pile.  If an opponent forces you to discard The Displaced, you may smoke any card that opponent controls.			Richard Kane Ferguson	Character	Unaligned	Very Common	N	 displaced the netherworld rabble 
The Faceless (80)	netherworld	the_faceless_nw	Netherworld Rabble	2			2	0	0	You may take control of States on characters or sites damaged by The Faceless in combat and place the States on any legal subject.			Susan Van Camp	Character	Unaligned	Very Common	N	 faceles faceless the netherworld rabble 
Jimmy Wai (81)	netherworld	jimmy_wai_nw	Mastermind	2			2	0	0	Unique.  Turn to cancel an effect that is being maintained by a card that turned and maintained.	He has a way of getting favors out of people.		Heather Hudson	Character	Unaligned	Rare	N	 jimmy wai mastermind 
The Losers (82)	netherworld	the_losers_nw	Netherworld Rabble	2			1	0	0	If The Losers are a legal target or subject of an Event or State being played on a card you control, you may turn The Losers to make them the target or subject.			Richard Thomas	Character	Unaligned	Very Common	N	 loser losers the netherworld rabble 
Luis Camacho (83)	standard	luis_camacho_standard	Vengeful Hood	4			2	0	0	Unique.  Gains +1 Fighting for each Hood card in your smoked pile.	He puts the *u* in "unforgiving."		L. A. Williams	Character	Unaligned	Rare	N	 lui luis camacho vengeful hood 
Mooks (84)	standard	mooks_standard	Mercenary Hoods	1			1	0	0		Stupid, brutal punks are something the world never seems to run out of.		Ron Rousselle	Character	Unaligned	Very Common	N	 mook mooks mercenary hood hoods 
Mysterious Stranger (85)	standard	mysterious_stranger_standard	Netherworld Outcast	3			2	0	0	The controller of a character who intercepts Mysterious Stranger loses all Power.	Don't ask us; even we don't know.		Richard Kane Ferguson	Character	Unaligned	Uncommon	N	 mysteriou mysterious stranger netherworld outcast 
Nine Cuts (86)	standard	nine_cuts_standard	Mercenary Assassin	4			2	0	0	Unique.  Assassinate.	"I don't descriminate. I'll whack any target, accept any currency."		Richard Thomas	Character	Unaligned	Rare	N	 nine cut cuts mercenary assassin 
White Ninja (87)	standard	white_ninja_standard	Assassin	5			3	0	0	Unique.  Stealth.  Ambush.	She is known only by the distinctive sword wound she leaves in her victims.		Kaja Foglio	Character	Unaligned	Rare	N	 white ninja assassin 
White Ninja (88)	flashpoint	white_ninja_fp	Assassin	6			7	0	0	Unique.  Stealth.  Ambush.  Special abilities of a character or site targeted by White Ninja in an attack are cancelled until the end of the turn.			Kaja Foglio	Character	Unaligned	Rare	N	 white ninja assassin 
Yakuza Enforcer (89)	flashpoint	yakuza_enforcer_fp	Killer Hood	3			4	0	0	Yakuza Enforcer takes no damage from cards you own. You may not redirect damage to Yakuza Enforcer.	"Traitors deserve no mercy."		Melissa Benson	Character	Unaligned	Common	N	 yakuza enforcer killer hood 
Ze Botelho (90)	netherworld	ze_botelho_nw	Lodge Outcast	3			3	0	0	Unique.  Toughness: 2 against {asc} characters.  While Ze Botelho is in play, any card with an {asc} symbol in its resource conditions has its cost increased by 1.			Heather Bruton	Character	Unaligned	Rare	N	 ze botelho lodge outcast 
Alchemist's Lair (91)	standard	alchemists_lair_standard	Site	2		{chi}{chi}	0	1	5		"You do not fool me, young one. Immortality is what you seek. It is what they all seek."	Clarification: This was <i>supposed</i> to provide {mag}. Flashpoint printings of this card provide {mag}.	Margaret Organ-Kean	Site	Chi	Common	N	 alchemist alchemists lair 
Ancient Grove (92)	standard	ancient_grove_standard	Site	2		{chi}{chi}	0	1	5		"These bamboo shoots are the mirror of your soul, warrior. When you understand why, you will find the path to mastery."		NéNé Thomas	Site	Chi	Common	N	 ancient grove 
Blade Palm (93)	standard	blade_palm_standard	Event	2	{chi}{chi}		0	0	0	Return target card to its owner's hand.  Does not affect Event cards.	When a chi master whips out the Blade Palm, stand back. Stand way far back.		Diana Vick	Event	Chi	Uncommon	N	 blade palm 
Dark's Soft Whisper (94)	flashpoint	darks_soft_whisper_fp	Event	0	{chi}		0	0	0	Play immediately after you have made an unsucessful attack, and when an opponent is closer to fulfilling victory conditions than you are, or is one feng shui site away from victory.  You gain 2 Power.			Heather Hudson	Event	Chi	Uncommon	N	 dark darks soft whisper 
Dawn of the Righteous (95)	standard	dawn_of_the_righteous_standard	Event	1	{chi}		0	0	0	Remove up to six damage counters from the cards you control.	Light always returns to shine upon the one wise enough to wait for it.		Jesper Myrfors	Event	Chi	Common	N	 dawn righteou righteous 
Healing Earth (96)	standard	healing_earth_standard	Event	0	{chi}		0	0	0	Remove a number of damage counters from the cards you control up to the number of {chi} resources in your pool.	The regenerative powers of the earth are triggered by the transcendent soul.		Nicola Leonard	Event	Chi	Common	N	 healing earth 
Invincible Chi (97)	flashpoint	invincible_chi_fp	Event	1	{chi}{chi}{chi}		0	0	0	Play during your turn. When you play Invincible Chi, choose one of the following card types: States, Edges, or sites.  The effects and special abilities of all cards of that type are cancelled until the end of the turn.			Douglas Shuler	Event	Chi	Uncommon	N	 invincible chi 
Return to the Center (98)	standard	return_to_the_center_standard	Event	1	{chi}		0	0	0	All States and non-damage tokens on target card are smoked.	Quan Lo's Principle of Principles: "Find the center within yourself; this you can never lose."		Julie Baroh	Event	Chi	Uncommon	N	 return center 
Violet Meditation (99)	netherworld	violet_meditation_nw	Event	0	{chi}		0	0	0	Limited.  Play at the start of your turn.  No other cards generate Power during your establishing shot.  Instead, Violet Meditation generates Power equal to the number of Edges and Power-generating sites controlled by target opponent.			Douglas Shuler	Event	Chi	Very Common	N	 violet meditation 
Wing of the Crane (100)	flashpoint	wing_of_the_crane_fp	Event	1	{chi}{chi}{chi}		0	0	0	Smoke target  character. If the character is still in the smoked pile at the end of the next player's turn, it returns to play.			Matt Wilson	Event	Chi	Uncommon	N	 wing crane 
Armored in Life (101)	standard	armored_in_life_standard	State	1	{chi}		0	0	0	Play on any character.  Subject character gains Toughness: 1.	"Master your internal energy, warrior, and use it to make your flesh harder than the sturdiest shield."		L. A. Williams	State	Chi	Common	N	 armored life 
Claw of the Tiger (102)	standard	claw_of_the_tiger_standard	State	1	{chi}{chi}{chi}		0	0	0	Play on any character.  Before combat damage is dealt, Claw of the Tiger inflicts 1 point of damage on all characters in combat with subject character.			L. A. Williams	State	Chi	Uncommon	N	 claw tiger 
Contract of the Fox (103)	standard	contract_of_the_fox_standard	State	2	{chi}		0	0	0	Play on any character.  Turn Contract of the Fox to unturn subject character.	The fox symbolizes swiftness, the unexpected, and reckless bravado.		Mike Raabe	State	Chi	Uncommon	N	 contract fox 
